nachdem,after,después de,vocabulario_imagen,Nachdem ich gegessen habe lerne ich Deutsch.
vermögen,fortune,fortuna / propiedad,vocabulario_imagen,Sein Vermögen ist über viele Jahre gewachsen.
wirtschaft,economy,economía,vocabulario_imagen,Die Wirtschaft wächst langsam.
während,during,durante,vocabulario_imagen,Während ich warte lese ich ein Buch.
bürgeramt,citizen's office,oficina del ciudadano,vocabulario_imagen,Das Bürgeramt öffnet um acht Uhr.
erhalten,receive,recibir,vocabulario_imagen,Ich habe gestern eine E-Mail erhalten.
vollständig,complete,completo,vocabulario_imagen,Bitte füllen Sie das Formular vollständig aus.
absichten,intentions,intenciones,vocabulario_imagen,Seine Absichten sind ehrlich.
mitzuteilen,inform,comunicar / informar,vocabulario_imagen,Ich habe Ihnen etwas Wichtiges mitzuteilen.
verwenden,use,utilizar / usar,vocabulario_imagen,Wir verwenden diese App jeden Tag.
niedrig,low,bajo,vocabulario_imagen,Der Preis ist heute niedrig.
vermuten,suspect,suponer,vocabulario_imagen,Ich vermute dass er später kommt.
hingegen,on the contrary,por el contrario,vocabulario_imagen,Er lernt schnell ich hingegen brauche mehr Zeit.
geduldigen,patient,pacientes / ser paciente,vocabulario_imagen,Bitte geduldigen Sie sich noch einen Moment.
bewegung,movement,movimiento,vocabulario_imagen,Bewegung ist gut für den Körper.
beamte,official,funcionario,vocabulario_imagen,Der Beamte prüft meinen Antrag.
ausweis,ID card,documento de identidad,vocabulario_imagen,Bitte zeigen Sie Ihren Ausweis.
gleichgewicht,balance,equilibrio,vocabulario_imagen,Beim Fahrradfahren ist Gleichgewicht wichtig.
erreichen,achieve,alcanzar / lograr,vocabulario_imagen,Wir wollen das Ziel heute erreichen.
einreichen,submit,presentar / entregar documentos,vocabulario_imagen,Sie müssen die Unterlagen online einreichen.
versammeln,gather,reunir,vocabulario_imagen,Die Leute versammeln sich vor dem Gebäude.
stumm,mute,mudo,vocabulario_imagen,Er blieb vor Schreck stumm.
verblassen,fade,desteñirse / palidecer,vocabulario_imagen,Die Farben verblassen in der Sonne.
fliehen,flee,huir,vocabulario_imagen,Die Menschen mussten vor dem Feuer fliehen.
schweigen,be silent,callar,vocabulario_imagen,Manchmal ist es besser zu schweigen.
lust,desire,ganas / deseo,vocabulario_imagen,Ich habe heute Lust auf Kaffee.
leer,empty,vacío,vocabulario_imagen,Die Flasche ist schon leer.
schatten,shadow,sombra,vocabulario_imagen,Im Sommer sitze ich gern im Schatten.
strahl,ray,rayo,vocabulario_imagen,Ein heller Strahl fiel durchs Fenster.
hinzufügen,add,añadir,vocabulario_imagen,Kannst du bitte meinen Namen hinzufügen.
lied,song,canción,vocabulario_imagen,Das Lied kenne ich aus dem Radio.
gesang,singing,canto,vocabulario_imagen,Ihr Gesang klingt sehr schön.
hof,courtyard,patio / granja,vocabulario_imagen,Die Kinder spielen im Hof.
genießen,enjoy,disfrutar,vocabulario_imagen,Wir genießen den freien Nachmittag.
blickten,looked,miraron,vocabulario_imagen,Alle blickten zur Tür.
vergebung,forgiveness,perdón,vocabulario_imagen,Nach dem Streit bat er um Vergebung.
vorsichtig,cautious,cauteloso,vocabulario_imagen,Sei auf der Treppe vorsichtig.
neugier,curiosity,curiosidad,vocabulario_imagen,Aus Neugier stellte sie viele Fragen.
weit,far,lejos / amplio,vocabulario_imagen,Die nächste Apotheke ist nicht weit.
bestehen,pass,existir / aprobar / consistir,vocabulario_imagen,Viele Häuser bestehen aus Stein.
eigenen,own,propios,vocabulario_imagen,Ich habe meinen eigenen Schlüssel.
wahrscheinlich,probably,probablemente,vocabulario_imagen,Er kommt wahrscheinlich morgen.
vorne,front,delante,vocabulario_imagen,Bitte setzt euch vorne hin.
übung,exercise,ejercicio,vocabulario_imagen,Jeden Tag hilft eine kurze Übung.
hinten,back,atrás,vocabulario_imagen,Der Ausgang ist ganz hinten.
unten,below,abajo,vocabulario_imagen,Die Garage ist unten im Haus.
überhaupt,at all,en absoluto / siquiera,vocabulario_imagen,Hast du überhaupt Zeit für ein Treffen.
beobachten,observe,observar,vocabulario_imagen,Wir beobachten die Vögel im Park.
empfahlen,recommended,recomendaron,vocabulario_imagen,Die Ärzte empfahlen mehr Ruhe.
unbedingt,absolutely,absolutamente,vocabulario_imagen,Ich muss heute unbedingt pünktlich sein.
sätze,sentences,frases,vocabulario_imagen,Ich schreibe jeden Tag kurze Sätze.
verzweiflung,despair,desesperación,vocabulario_imagen,In ihrer Verzweiflung rief sie ihre Freundin an.
erschöpfen,exhaust,agotar,vocabulario_imagen,Die vielen Aufgaben erschöpfen mich.
erfolgreicher,successful,exitoso,vocabulario_imagen,Mit einem Plan wird er erfolgreicher.
insgesamt,total,en total,vocabulario_imagen,Insgesamt war der Tag ganz gut.
bemühen,effort,esforzarse,vocabulario_imagen,Ich werde mich mehr bemühen.
aufwachen,wake up,despertar,vocabulario_imagen,Ich muss morgen früh aufwachen.
ändern,change,cambiar,vocabulario_imagen,Wir müssen den Termin ändern.
irren,be wrong,errar / equivocarse,vocabulario_imagen,Du irrst dich diesmal.
scheitern,fail,fracasar,vocabulario_imagen,Ohne Hilfe kann der Plan scheitern.
überzeugen,convince,convencer,vocabulario_imagen,Seine Idee konnte alle überzeugen.
rücken,back,espalda,vocabulario_imagen,Mein Rücken tut nach der Arbeit weh.
gängige,common,común / corriente,vocabulario_imagen,Das ist eine gängige Methode.
bewusst,conscious,consciente,vocabulario_imagen,Mir ist das Problem jetzt bewusst.
offensichtlich,obvious,obvio / evidente,vocabulario_imagen,Es ist offensichtlich zu spät.
übernehmen,take over,hacerse cargo,vocabulario_imagen,Wer kann heute die Leitung übernehmen.
erlauben,allow,permitir,vocabulario_imagen,Meine Eltern erlauben den Ausflug.
kraft,power,fuerza,vocabulario_imagen,Nach dem Urlaub habe ich wieder Kraft.
bedeutung,meaning,significado,vocabulario_imagen,Dieses Wort hat eine wichtige Bedeutung.
verbinden,connect,conectar,vocabulario_imagen,Die Brücke soll zwei Dörfer verbinden.
geschichte,history,historia,vocabulario_imagen,Die Geschichte des Hauses ist spannend.
unterbrechen,interrupt,interrumpir,vocabulario_imagen,Bitte nicht mitten im Satz unterbrechen.
in diesem fall,in this case,en este caso,vocabulario_imagen,In diesem Fall warten wir noch.
allgemein,general,general,vocabulario_imagen,Das ist allgemein bekannt.
zusammenbrechen,collapse,colapsar / derrumbarse,vocabulario_imagen,Ohne Wasser kann der Körper zusammenbrechen.
sorge,worry,preocupación,vocabulario_imagen,Seine Sorge war nicht unbegründet.
bewiesen,proven,demostrado,vocabulario_imagen,Das wurde im Labor klar bewiesen.
entdecken,discover,descubrir,vocabulario_imagen,Kinder entdecken die Welt jeden Tag.
auf jeden fall,definitely,en cualquier caso,vocabulario_imagen,Ich komme auf jeden Fall mit.
herausfinden,find out,averiguar,vocabulario_imagen,Wir müssen die Ursache herausfinden.
verschwinden,disappear,desaparecer,vocabulario_imagen,Mein Schlüssel kann nicht einfach verschwinden.
kopfzerbrechen,headache,quebradero de cabeza,vocabulario_imagen,Diese Aufgabe macht mir Kopfzerbrechen.
betrachten,consider,considerar / observar,vocabulario_imagen,Wir betrachten das Problem von zwei Seiten.
es gibt,there is,hay,vocabulario_imagen,Es gibt heute viele Termine.
fortschritte,progress,avances / progresos,vocabulario_imagen,Beim Sprechen mache ich langsam Fortschritte.
blase,bubble,burbuja / vejiga,vocabulario_imagen,In der Seifenlauge steigt eine Blase auf.
unternehmen,enterprise,empresa / emprender,vocabulario_imagen,Wir wollen am Wochenende etwas Schönes unternehmen.
steigern,increase,aumentar,vocabulario_imagen,Regelmäßiges Lernen kann die Motivation steigern.
anmeldung,registration,registro / inscripción,vocabulario_imagen,Die Anmeldung dauert nur fünf Minuten.
vorgang,process,proceso,vocabulario_imagen,Der Vorgang ist noch nicht abgeschlossen.
überweisung,transfer,transferencia,vocabulario_imagen,Die Überweisung kam gestern an.
anmelden,register,registrar / iniciar sesión,vocabulario_imagen,Ich muss mich online anmelden.
einzige art,only type,única especie / forma,vocabulario_imagen,Das ist die einzige Art das Problem zu lösen.
bekommen,get,recibir,vocabulario_imagen,Hast du meine Nachricht bekommen.
erfordern,require,requerir,vocabulario_imagen,Solche Aufgaben erfordern viel Geduld.
terminvereinbarung,appointment,concierto de cita,vocabulario_imagen,Die Terminvereinbarung war überraschend einfach.
vorherige,previous,anterior,vocabulario_imagen,Die vorherige Wohnung war kleiner.
empfangen,receive,recibir / acoger,vocabulario_imagen,Am Bahnhof empfangen wir unsere Gäste.
gebühren,fees,tasas / cargos,vocabulario_imagen,Für diesen Service fallen keine Gebühren an.
seit ungefähr,since about,desde hace aproximadamente,vocabulario_imagen,Ich wohne seit ungefähr zwei Jahren hier.
feldern,fields,campos,vocabulario_imagen,In den Feldern wächst schon Weizen.
sachbearbeiterin,clerk,gestora responsable,vocabulario_imagen,Die Sachbearbeiterin war sehr freundlich.
genug,enough,suficiente,vocabulario_imagen,Heute habe ich genug gearbeitet.
geduld,patience,paciencia,vocabulario_imagen,Beim Deutschlernen braucht man Geduld.
knabbern,nibble,picotear / morder,vocabulario_imagen,Abends knabbern wir oft Nüsse.
reihenfolge,order,orden / secuencia,vocabulario_imagen,Bitte achtet auf die richtige Reihenfolge.
arbeitsvertrag,labor contract,contrato de trabajo,vocabulario_imagen,Ich habe meinen Arbeitsvertrag gestern unterschrieben.
riesig,huge,gigante,vocabulario_imagen,Die neue Bibliothek ist riesig.
ernst,serious,serio,vocabulario_imagen,Sein Blick war plötzlich sehr ernst.
vorstellen,introduce,imaginar / presentar,vocabulario_imagen,Kannst du dich bitte kurz vorstellen.
mischen,mix,mezclar,vocabulario_imagen,Bitte nicht Rot und Blau mischen.
unterricht,lessons,clase / enseñanza,vocabulario_imagen,Der Unterricht beginnt um neun Uhr.
pflicht,duty,obligación,vocabulario_imagen,Pünktlichkeit ist hier eine Pflicht.
gesetzlichen,legal,legal,vocabulario_imagen,Wir beachten die gesetzlichen Regeln.
mindesteinkommen,minimum income,ingreso mínimo,vocabulario_imagen,Das Mindesteinkommen reicht kaum für die Miete.
ausser betrieb,out of order,fuera de servicio,vocabulario_imagen,Der Aufzug ist heute außer Betrieb.
dringend,urgent,urgente,vocabulario_imagen,Ich brauche dringend einen Termin.
ungefähr,about,aproximadamente,vocabulario_imagen,Die Fahrt dauert ungefähr eine Stunde.
überraschen,surprise,sorprender,vocabulario_imagen,Du kannst mich immer noch überraschen.
holt,fetches,recoge / trae,vocabulario_imagen,Mein Bruder holt mich nach der Arbeit ab.
unbeholfen,clumsy,torpe / rudo,vocabulario_imagen,Er wirkte am Anfang etwas unbeholfen.
großzügig,generous,generoso,vocabulario_imagen,Sie gab ihm eine großzügige Spende.
zugleich,simultaneously,al mismo tiempo,vocabulario_imagen,Er war müde und zugleich zufrieden.
empfindliche,sensitive,sensible,vocabulario_imagen,Das ist eine empfindliche Angelegenheit.
notfall,emergency,emergencia,vocabulario_imagen,Im Notfall rufen wir sofort an.
mitbringen,bring along,traer consigo,vocabulario_imagen,Bitte alles zum Termin mitbringen.
bargeld,cash,efectivo,vocabulario_imagen,Ich habe kein Bargeld dabei.
holen,fetch,traer / recoger,vocabulario_imagen,Ich gehe kurz Kaffee holen.
gebühren verlangen,charge fees,exigir tasas,vocabulario_imagen,Darf die Bank dafür Gebühren verlangen.
verkehr,traffic,tráfico,vocabulario_imagen,Morgens ist der Verkehr besonders stark.
schilder,signs,letreros / señales,vocabulario_imagen,Die Schilder zeigen den Weg zum Bahnhof.
fehler,error,error,vocabulario_imagen,Ein kleiner Fehler kann viel kosten.
schwierig,difficult,difícil,vocabulario_imagen,Die Aufgabe war zuerst schwierig.
innerhalb,within,dentro de,vocabulario_imagen,Bitte antworten Sie innerhalb einer Woche.
leute,people,gente,vocabulario_imagen,Viele Leute warten schon draußen.
oben,above,arriba,vocabulario_imagen,Unsere Wohnung ist ganz oben.
unten,below,abajo,vocabulario_imagen,Die Pakete stehen unten im Flur.
aufnimmt,records,acoge / graba,vocabulario_imagen,Die App zeigt was das Mikrofon aufnimmt.
vergleichen,compare,comparar,vocabulario_imagen,Wir vergleichen heute zwei Angebote.
inhalte,contents,contenidos,vocabulario_imagen,Die Inhalte der Lektion sind klar erklärt.
beruf,profession,profesión,vocabulario_imagen,Was ist dein Beruf.
überspringe,skip,salto,vocabulario_imagen,Ich überspringe heute die letzte Übung.
nachgesprochen,repeated,repetido (hablado),vocabulario_imagen,Er hat den Satz langsam nachgesprochen.
runterladen,download,descargar,vocabulario_imagen,Du kannst die Datei jetzt runterladen.
abgelenkt,distracted,distraído,vocabulario_imagen,Im Großraumbüro bin ich oft abgelenkt.
geachtet,respected,respetado,vocabulario_imagen,Im Team wird sehr auf Pünktlichkeit geachtet.
runterzubringen,bring down,bajar,vocabulario_imagen,Es war schwer die Kisten runterzubringen.
lustige,funny,divertido,vocabulario_imagen,Sie erzählte eine lustige Geschichte.
einladung,invitation,invitación,vocabulario_imagen,Danke für die freundliche Einladung.
schlimm,bad,malo / grave,vocabulario_imagen,So schlimm war der Fehler nicht.
wert,value,valor,vocabulario_imagen,Dieses Buch ist viel wert.
erkennen,recognize,reconocer,vocabulario_imagen,Ich konnte seine Stimme sofort erkennen.
benutzen,use,usar,vocabulario_imagen,Du darfst meinen Computer benutzen.
zugriff,access,acceso,vocabulario_imagen,Nur Mitarbeiter haben Zugriff auf die Daten.
wiederholen,repeat,repetir,vocabulario_imagen,Wir wiederholen die neuen Wörter morgen.
abbrechen,cancel,cancelar / interrumpir,vocabulario_imagen,Wir müssen das Gespräch kurz abbrechen.
fortsetzen,resume,continuar,vocabulario_imagen,Wir wollen den Kurs morgen fortsetzen.
löschen,delete,borrar,vocabulario_imagen,Bitte löschen Sie die alte Datei.
verschwenden,waste,malgastar,vocabulario_imagen,Wir sollten keine Zeit verschwenden.
verstellung,disguise,disimulo / ajuste,vocabulario_imagen,Die Verstellung des Sitzes ist ganz einfach.
norm,norm,norma,vocabulario_imagen,Diese Größe entspricht der Norm.
zweifel,doubt,duda,vocabulario_imagen,Ich habe keinen Zweifel daran.
ablehnung,refusal,rechazo,vocabulario_imagen,Die Ablehnung kam per E-Mail.
selbst,self,mismo,vocabulario_imagen,Du musst das selbst entscheiden.
verwirrung,confusion,confusión,vocabulario_imagen,Die vielen Infos sorgten für Verwirrung.
insgesamt,total,en total,vocabulario_imagen,Insgesamt habe ich viel gelernt.
beworfen,pelted,lanzado,vocabulario_imagen,Der Junge wurde mit Schnee beworfen.
aufhalten,stop,retener / detener,vocabulario_imagen,Bitte nicht im Eingang aufhalten.
bemühen,effort,esfuerzo / esforzarse,vocabulario_imagen,Wir müssen uns weiter bemühen.
weigern,refuse,negarse,vocabulario_imagen,Er wird sich nicht weigern zu helfen.
teilzunehmen,participate,participar,vocabulario_imagen,Sie plant am Workshop teilzunehmen.
beseitigen,eliminate,eliminar,vocabulario_imagen,Wir müssen den Schaden schnell beseitigen.
erhellt,enlightened,iluminado,vocabulario_imagen,Das Licht erhellt den ganzen Raum.
gestatten,allow,permitir,vocabulario_imagen,Gestatten Sie mir eine kurze Frage.
leiden,suffer,sufrir,vocabulario_imagen,Viele Menschen leiden unter Stress.
stattdessen,instead,en su lugar,vocabulario_imagen,Stattdessen gehen wir zu Fuß.
versagen,fail,fallar / fracasar,vocabulario_imagen,Unter großem Druck kann jeder versagen.
vorzüge,merits,ventajas,vocabulario_imagen,Dieses Modell hat viele Vorzüge.
ausgebrannt,burnt out,agotado / quemado,vocabulario_imagen,Nach Monaten ohne Pause fühlte er sich ausgebrannt.
verkehrt,wrong,equivocado / al revés,vocabulario_imagen,Die Hausnummer ist verkehrt.
reichtum,wealth,riqueza,vocabulario_imagen,Reichtum allein macht nicht glücklich.
druck,pressure,presión,vocabulario_imagen,Unter Druck arbeite ich langsamer.
mangeln,lack,carecer,vocabulario_imagen,Es wird uns an Zeit mangeln.
meisten,most,la mayoría,vocabulario_imagen,Die meisten Gäste kamen pünktlich.
auftauchen,emerge,aparecer / emerger,vocabulario_imagen,Plötzlich kann ein neues Problem auftauchen.
geplatzt,burst,estallado / cancelado,vocabulario_imagen,Der Termin ist leider geplatzt.
geworden,become,convertido en,vocabulario_imagen,Es ist später geworden als gedacht.
gezeichnet,marked,dibujado / marcado,vocabulario_imagen,Sein Gesicht war von Müdigkeit gezeichnet.
abdrehen,turn off,apagar / girar,vocabulario_imagen,Bitte das Wasser nicht komplett abdrehen.
abschalten,switch off,desconectar / apagar,vocabulario_imagen,Am Abend möchte ich einfach abschalten.
bestimmte,certain,determinado,vocabulario_imagen,Nur bestimmte Daten sind öffentlich.
gerade,just now,justo ahora / recto,vocabulario_imagen,Ich habe gerade keine Zeit.
sogar,even,incluso,vocabulario_imagen,Heute hat es sogar geschneit.
bisher,so far,hasta ahora,vocabulario_imagen,Bisher läuft alles gut.
mitgenommen,taken along,llevado consigo,vocabulario_imagen,Sie hat Essen für später mitgenommen.
entsorgen,dispose,desechar,vocabulario_imagen,Bitte Batterien richtig entsorgen.
sobald,as soon as,en cuanto,vocabulario_imagen,Ich rufe dich an sobald ich ankomme.
gleichzeitig,simultaneously,simultáneamente,vocabulario_imagen,Wir können nicht alles gleichzeitig machen.
ungeachtet,regardless,sin tener en cuenta,vocabulario_imagen,Ungeachtet des Regens gingen wir spazieren.
umfangen,embrace,rodear / abarcar,vocabulario_imagen,Dichter Nebel schien das Haus zu umfangen.
gelegenheit,opportunity,oportunidad,vocabulario_imagen,Das ist eine gute Gelegenheit zum Üben.
zusätzlich,additional,adicional,vocabulario_imagen,Wir brauchen zusätzlich noch einen Nachweis.
gemeinsam,together,juntos,vocabulario_imagen,Wir lösen die Aufgabe gemeinsam.
dieselbe,the same,la misma,vocabulario_imagen,Sie hatte dieselbe Idee wie ich.
verletzungen,injuries,lesiones,vocabulario_imagen,Nach dem Sturz hatte er keine schweren Verletzungen.
beraten,advise,asesorar,vocabulario_imagen,Die Ärztin wird dich gut beraten.
unwohlsein,malaise,malestar,vocabulario_imagen,Bei starkem Unwohlsein bleibe ich zu Hause.
tun,do,hacer,vocabulario_imagen,Was kann ich für dich tun.
enthalten,contain,contener,vocabulario_imagen,Der Vertrag kann Zusatzkosten enthalten.
weiten,widen,ampliar,vocabulario_imagen,Die Bauarbeiten weiten die Straße.
verwandeln,transform,transformar,vocabulario_imagen,Musik kann die Stimmung verwandeln.
genau,exactly,exacto,vocabulario_imagen,Bitte lies die Frage genau.
zwar,indeed,ciertamente,vocabulario_imagen,Zwar ist es spät aber ich lerne noch.
echten,real,verdadero / auténtico,vocabulario_imagen,Wir brauchen einen echten Beweis.
wahnsinn,madness,locura,vocabulario_imagen,Dieser Verkehr ist der reine Wahnsinn.
zuvor,before,antes,vocabulario_imagen,Ich hatte ihn schon zuvor gesehen.
gefahr,danger,peligro,vocabulario_imagen,Ohne Helm ist die Gefahr größer.
verändern,change,cambiar,vocabulario_imagen,Neue Erfahrungen verändern uns.
getan,done,hecho,vocabulario_imagen,Ich habe mein Bestes getan.
dringen,penetrate,penetrar / urger,vocabulario_imagen,Kaltes Wasser kann durch die Wand dringen.
kriegen,get,conseguir,vocabulario_imagen,Kann ich heute eine Antwort kriegen.
drin,inside,adentro,vocabulario_imagen,Mein Schlüssel ist noch drin.
kleben,stick,pegar,vocabulario_imagen,Die Notiz bleibt am Kühlschrank kleben.
geräusche,noises,ruidos,vocabulario_imagen,Nachts höre ich seltsame Geräusche.
laute,sounds,sonidos / ruidoso,vocabulario_imagen,Ich hörte laute Stimmen im Treppenhaus.
stockwerk,floor,planta / piso,vocabulario_imagen,Wir wohnen im dritten Stockwerk.
klingen,sound,sonar,vocabulario_imagen,Die Wörter klingen ähnlich.
ohne zögern,without hesitation,sin dudar,vocabulario_imagen,Er half mir ohne Zögern.
behandeln,treat,tratar,vocabulario_imagen,Bitte behandeln Sie die Daten vertraulich.
dadurch,thereby,a través de ello,vocabulario_imagen,Ich habe viel geübt und dadurch Fortschritte gemacht.
schließen,close,cerrar,vocabulario_imagen,Bitte schließen Sie die Tür leise.
